"","word","sentiment"
"95","accelerate","anticipation"
"96","gratum","positive"
"97","acceptatio","positive"
"98","accessible","positive"
"99","casus","fear"
"100","casus","negative"
"101","casus","sadness"
"102","casus","surprise"
"103","accidens","fear"
"104","accidens","negative"
"105","accidens","surprise"
"106","accidens","surprise"
"107","accolade","anticipation"
"108","accolade","joy"
"109","accolade","positive"
"110","accolade","surprise"
"111","accolade","trust"
"112","accommodatio","positive"
"113","comitante","anticipation"
"114","comitante","joy"
"115","comitante","positive"
"116","comitante","trust"
"117","efficere","joy"
"118","efficere","positive"
"119","peracta","joy"
"120","peracta","positive"
"121","effectus","positive"
"122","secundum","positive"
"123","secundum","trust"
"124","propter","trust"
"125","accountability","positive"
"126","accountability","trust"
"127","accountable","positive"
"128","accountable","trust"
"129","Computantis","trust"
"130","rationibus","trust"
"131","adprobatum","positive"
"132","adprobatum","trust"
"133","accueil","positive"
"134","accurate","positive"
"135","accurate","trust"
"136","maledictus","anger"
"137","maledictus","fear"
"138","maledictus","negative"
"139","maledictus","sadness"
"140","accusatio","anger"
"141","accusatio","disgust"
"142","accusatio","negative"
"143","accusativus","negative"
"144","accusatus","anger"
"145","accusatus","fear"
"146","accusatus","negative"
"147","accusator","anger"
"148","accusator","fear"
"149","accusator","negative"
"150","accus","anger"
"151","accus","fear"
"152","accus","negative"
"153","ace","positive"
"154","dolori","negative"
"155","dolori","sadness"
"156","consequi","joy"
"157","consequi","positive"
"158","consequi","trust"
"159","factum","anticipation"
"160","factum","joy"
"161","factum","positive"
"162","factum","trust"
"163","traiecto","negative"
"164","traiecto","sadness"
"165","acidum","negative"
"166","agnitio","positive"
"167","acquire","positive"
"168","acquirere","anticipation"
"169","acquirere","positive"
"170","acrobat","fear"
"171","acrobat","joy"
"172","acrobat","positive"
"173","acrobat","trust"
"174","actio","positive"
"175","operabili","anger"
"176","operabili","disgust"
"177","operabili","negative"
"178","actual!","positive"
"179","acumen","positive"
"180","acumen","positive"
"181","accommodare","positive"
"182","habilis","positive"
"183","vipera","anger"
"184","vipera","disgust"
"185","vipera","fear"
"186","vipera","negative"
"187","vipera","sadness"
"188","PROCLIVITAS","negative"
"189","oratio","anticipation"
"190","oratio","positive"
"191","peritus","positive"
"192","sufficientia","positive"
"193","adhaerens","trust"
"194","adipose","negative"
"195","judicare","fear"
"196","judicare","negative"
"197","adiuncto","positive"
"198","administrativus","trust"
"199","admirabilis","joy"
"200","admirabilis","positive"
"201","admirabilis","trust"
"202","praefectus","positive"
"203","praefectus","trust"
"204","admirationem","joy"
"205","admirationem","positive"
"206","admirationem","trust"
"207","admirari","positive"
"208","admirari","trust"
"209","admirator","positive"
"210","admittenda","positive"
"211","admittenda","trust"
"212","admonitionem","fear"
"213","admonitionem","negative"
"214","venerabile","joy"
"215","venerabile","positive"
"216","adoratio","joy"
"217","adoratio","positive"
"218","adoratio","trust"
"219","adorare","anticipation"
"220","adorare","joy"
"221","adorare","positive"
"222","adorare","trust"
"223","exilii","anticipation"
"224","exilii","fear"
"225","exilii","negative"
"226","exilii","sadness"
"227","adulteratum","negative"
"228","adulterium","disgust"
"229","adulterium","negative"
"230","adulterium","sadness"
"231","antecessum","anticipation"
"232","antecessum","fear"
"233","antecessum","joy"
"234","antecessum","positive"
"235","antecessum","surprise"
"236","provecta","positive"
"237","progressio","positive"
"238","commodum","positive"
"239","utile","positive"
"240","Adventus","anticipation"
"241","Adventus","joy"
"242","Adventus","positive"
"243","Adventus","trust"
"244","casus","anticipation"
"245","casus","positive"
"246","adventurous","positive"
"247","adversarius","anger"
"248","adversarius","negative"
"249","adversis","anger"
"250","adversis","disgust"
"251","adversis","fear"
"252","adversis","negative"
"253","adversis","sadness"
"254","adversitas","anger"
"255","adversitas","fear"
"256","adversitas","negative"
"257","adversitas","sadness"
"258","consilium","trust"
"259","opportunum","positive"
"260","opportunum","trust"
"261","consilium","positive"
"262","consilium","trust"
"263","consilium","trust"
"264","consiliarius","positive"
"265","consiliarius","trust"
"266","patrocinium","anger"
"267","patrocinium","anticipation"
"268","patrocinium","joy"
"269","patrocinium","positive"
"270","patrocinium","trust"
"271","advocatus","trust"
"272","aesthetic","positive"
"273","aesthetics","joy"
"274","aesthetics","positive"
"275","affabilis","positive"
"276","affectio","joy"
"277","affectio","positive"
"278","affectio","trust"
"279","foederata","positive"
"280","affirmare","positive"
"281","affirmare","trust"
"282","affirmatio","positive"
"283","affirmativa","positive"
"284","affirmative","positive"
"285","affirmative","trust"
"286","afflict","fear"
"287","afflict","negative"
"288","afflict","sadness"
"289","afflictum","negative"
"290","afflictionem","disgust"
"291","afflictionem","fear"
"292","afflictionem","negative"
"293","afflictionem","sadness"
"294","affluentia","joy"
"295","affluentia","positive"
"296","affluens","positive"
"297","praestare","positive"
"298","contumelia","anger"
"299","contumelia","disgust"
"300","contumelia","fear"
"301","contumelia","negative"
"302","contumelia","sadness"
"303","contumelia","surprise"
"304","timet","fear"
"305","timet","negative"
"306","CHORDUS","anger"
"307","CHORDUS","disgust"
"308","CHORDUS","fear"
"309","CHORDUS","negative"
"310","CHORDUS","sadness"
"311","aftertaste","negative"
"312","aga","fear"
"313","aga","positive"
"314","aga","trust"
"315","aggravatur","anger"
"316","aggravatur","negative"
"317","aggravans","anger"
"318","aggravans","negative"
"319","aggravans","sadness"
"320","exulceratio","anger"
"321","exulceratio","disgust"
"322","exulceratio","negative"
"323","irascibilis","anger"
"324","irascibilis","fear"
"325","irascibilis","negative"
"326","infestantibus","anger"
"327","infestantibus","fear"
"328","infestantibus","negative"
"329","aggressor","anger"
"330","aggressor","fear"
"331","aggressor","negative"
"332","obstipuere","disgust"
"333","obstipuere","fear"
"334","obstipuere","negative"
"335","obstipuere","surprise"
"336","agilis","positive"
"337","agilitas","positive"
"338","agitatur","anger"
"339","agitatur","negative"
"340","agitatio","anger"
"341","agitatio","negative"
"342","crucians","fear"
"343","crucians","negative"
"344","agonia","anger"
"345","agonia","fear"
"346","agonia","negative"
"347","agonia","sadness"
"348","consentire","positive"
"349","iucundus","positive"
"350","iucundus","trust"
"351","constat","positive"
"352","constat","trust"
"353","consentiens","positive"
"354","consentiens","trust"
"355","pactum","positive"
"356","pactum","trust"
"357","agricultura","positive"
"358","eiecere","negative"
"359","praemisit","positive"
"360","auxilium","positive"
"361","auxilium","positive"
"362","all","negative"
"363","all","sadness"
"364","aegrotus","fear"
"365","aegrotus","negative"
"366","aegrotus","sadness"
"367","caecae","negative"
"368","aeroportus","anticipation"
"369","airs","disgust"
"370","airs","negative"
"371","cognatus","trust"
"372","alabastrum","positive"
"373","terrorem","fear"
"374","terrorem","negative"
"375","terrorem","surprise"
"376","terrens","fear"
"377","terrens","negative"
"378","terrens","surprise"
"379","alba","trust"
"380","alcoholismo","anger"
"381","alcoholismo","disgust"
"382","alcoholismo","fear"
"383","alcoholismo","negative"
"384","alcoholismo","sadness"
"385","adiice","anticipation"
"386","adiice","fear"
"387","adiice","positive"
"388","adiice","surprise"
"389","summis","anticipation"
"390","summis","fear"
"391","summis","surprise"
"392","alienus","disgust"
"393","alienus","fear"
"394","alienus","negative"
"395","alienare","anger"
"396","alienare","disgust"
"397","alienare","negative"
"398","alienatus","negative"
"399","alienatus","sadness"
"400","alienatio","anger"
"401","alienatio","disgust"
"402","alienatio","fear"
"403","alienatio","negative"
"404","alienatio","sadness"
"405","alimentum","positive"
"406","SALARIUM","negative"
"407","vivus","anticipation"
"408","vivus","joy"
"409","vivus","positive"
"410","vivus","trust"
"411","sedare","positive"
"412","allegatio","anger"
"413","allegatio","negative"
"414","allegare","negative"
"415","fides","positive"
"416","fides","trust"
"417","allegro","positive"
"418","sublevare","positive"
"419","levamen","positive"
"420","societas","trust"
"421","sociis","positive"
"422","sociis","trust"
"423","licita","positive"
"424","allicere","anticipation"
"425","allicere","joy"
"426","allicere","positive"
"427","allicere","surprise"
"428","illecebrosus","positive"
"429","socius","positive"
"430","socius","trust"
"431","omnipotens","positive"
"432","Dei","anticipation"
"433","Dei","joy"
"434","Dei","positive"
"435","procul","negative"
"436","altercatio","anger"
"437","altercatio","negative"
"438","mirari","surprise"
"439","mirum in modum","joy"
"440","mirum in modum","positive"
"441","mirum in modum","surprise"
"442","legatus","positive"
"443","legatus","trust"
"444","ambiguum","negative"
"445","ambitio","anticipation"
"446","ambitio","joy"
"447","ambitio","positive"
"448","ambitio","trust"
"449","ambulance","fear"
"450","ambulance","trust"
"451","insidiae","anger"
"452","insidiae","fear"
"453","insidiae","negative"
"454","insidiae","surprise"
"455","melioratus","positive"
"456","Amen","joy"
"457","Amen","positive"
"458","Amen","trust"
"459","bene","positive"
"460","emendare","positive"
"461","satisfactione","positive"
"462","amoenitas","positive"
"463","amabilis","positive"
"464","amicabilis","joy"
"465","amicabilis","positive"
"466","ammoniaci","disgust"
"467","amnesia","negative"
"468","abolitio","joy"
"469","abolitio","positive"
"470","amortizationem","trust"
"471","amour","anticipation"
"472","amour","joy"
"473","amour","positive"
"474","amour","trust"
"475","amphetamines","disgust"
"476","amphetamines","negative"
"477","oblectare","joy"
"478","oblectare","positive"
"479","risit","joy"
"480","risit","positive"
"481","ludicrum","joy"
"482","ludicrum","positive"
"483","ludibrium","joy"
"484","ludibrium","positive"
"485","anaconda","disgust"
"486","anaconda","fear"
"487","anaconda","negative"
"488","anal","negative"
"489","analyst","anticipation"
"490","analyst","positive"
"491","analyst","trust"
"492","anarchism","anger"
"493","anarchism","fear"
"494","anarchism","negative"
"495","anarchist","anger"
"496","anarchist","fear"
"497","anarchist","negative"
"498","LICENTIA","anger"
"499","LICENTIA","fear"
"500","LICENTIA","negative"
"501","anathema","anger"
"502","anathema","disgust"
"503","anathema","fear"
"504","anathema","negative"
"505","anathema","sadness"
"506","paterna","trust"
"507","anchora","positive"
"508","statio","positive"
"509","statio","sadness"
"510","antiqua","negative"
"511","angelus","anticipation"
"512","angelus","joy"
"513","angelus","positive"
"514","angelus","surprise"
"515","angelus","trust"
"516","angelicus","joy"
"517","angelicus","positive"
"518","angelicus","trust"
"519","ira","anger"
"520","ira","negative"
"521","angina","fear"
"522","angina","negative"
"523","angling","anticipation"
"524","angling","negative"
"525","Iratus","anger"
"526","Iratus","disgust"
"527","Iratus","negative"
"528","angustia","anger"
"529","angustia","fear"
"530","angustia","negative"
"531","angustia","sadness"
"532","animatus","positive"
"533","animatum","joy"
"534","animatum","positive"
"535","inimicitiae","anger"
"536","inimicitiae","disgust"
"537","inimicitiae","fear"
"538","inimicitiae","negative"
"539","inimicitiae","sadness"
"540","animus","anger"
"541","animus","negative"
"542","annihilare","anger"
"543","annihilare","fear"
"544","annihilare","negative"
"545","exstinguitur","anger"
"546","exstinguitur","fear"
"547","exstinguitur","negative"
"548","exstinguitur","sadness"
"549","annihilatio","anger"
"550","annihilatio","fear"
"551","annihilatio","negative"
"552","annihilatio","sadness"
"553","denuntiatio","anticipation"
"554","molestus","anger"
"555","molestus","disgust"
"556","molestus","negative"
"557","molestie","anger"
"558","molestie","disgust"
"559","molestie","negative"
"560","molestus","anger"
"561","molestus","negative"
"562","annul","negative"
"563","opto:","negative"
"564","opto:","sadness"
"565","anomalia","fear"
"566","anomalia","negative"
"567","anomalia","surprise"
"568","sine nomine","negative"
"569","respondere","trust"
"570","repugnantia","anger"
"571","repugnantia","negative"
"572","adversario","anger"
"573","adversario","negative"
"574","contrarius","anger"
"575","contrarius","disgust"
"576","contrarius","negative"
"577","anthrax","disgust"
"578","anthrax","fear"
"579","anthrax","negative"
"580","anthrax","sadness"
"581","antibiotics","positive"
"582","antichristus","anger"
"583","antichristus","disgust"
"584","antichristus","fear"
"585","antichristus","negative"
"586","anticipatio","anticipation"
"587","praenuntia","anticipation"
"588","antidotum","anticipation"
"589","antidotum","positive"
"590","antidotum","trust"
"591","antifungal","positive"
"592","antifungal","trust"
"593","antipathia","anger"
"594","antipathia","disgust"
"595","antipathia","negative"
"596","vetustate","negative"
"597","antiquitas","positive"
"598","antiseptic","positive"
"599","antiseptic","trust"
"600","antisocial","anger"
"601","antisocial","disgust"
"602","antisocial","fear"
"603","antisocial","negative"
"604","antisocial","sadness"
"605","antithesis","anger"
"606","antithesis","negative"
"607","anxietatem","anger"
"608","anxietatem","anticipation"
"609","anxietatem","fear"
"610","anxietatem","negative"
"611","anxietatem","sadness"
"612","sollicitus","anticipation"
"613","sollicitus","fear"
"614","sollicitus","negative"
"615","Apache","fear"
"616","Apache","negative"
"617","segnis","negative"
"618","segnis","sadness"
"619","accidiam","negative"
"620","accidiam","sadness"
"621","aphid","disgust"
"622","aphid","negative"
"623","aplomb","positive"
"624","apologeticum","positive"
"625","apologeticum","trust"
"626","deprecarentur","positive"
"627","deprecarentur","sadness"
"628","deprecarentur","trust"
"629","excusatio","positive"
"630","apostoli","positive"
"631","apostoli","trust"
"632","apostolicus","trust"
"633","horribilis","disgust"
"634","horribilis","fear"
"635","horribilis","negative"
"636","apparitio","fear"
"637","apparitio","surprise"
"638","appellatio","anticipation"
"639","appendicis","fear"
"640","appendicis","negative"
"641","appendicis","sadness"
"642","plausus","joy"
"643","plausus","positive"
"644","plausus","surprise"
"645","plausus","trust"
"646","applicant","anticipation"
"647","appreciation","joy"
"648","appreciation","positive"
"649","appreciation","trust"
"650","apprehendere","fear"
"651","apprehensio","fear"
"652","apprehensio","negative"
"653","apprehensiva","anticipation"
"654","apprehensiva","fear"
"655","apprehensiva","negative"
"656","discipulus","trust"
"657","appropinquare","anticipation"
"658","approbatio","positive"
"659","approbatio","trust"
"660","appropriatio","negative"
"661","approbatio","positive"
"662","approbo","joy"
"663","approbo","positive"
"664","approbo","trust"
"665","approbantes","positive"
"666","aptum","positive"
"667","habilitas","positive"
"668","arbiter","trust"
"669","arbitrium","anticipation"
"670","arbitrum","trust"
"671","archaeologiae","anticipation"
"672","archaeologiae","positive"
"673","pervetustis","negative"
"674","architectura","trust"
"675","ardens","anticipation"
"676","ardens","joy"
"677","ardens","positive"
"678","ardor","positive"
"679","arduous","negative"
"680","argumentari","anger"
"681","argumentari","negative"
"682","argumentum","anger"
"683","argumentum","negative"
"684","argumentatio","anger"
"685","litigiosa","negative"
"686","argumentis","anger"
"687","aridum","negative"
"688","aridum","sadness"
"689","aristocratia","positive"
"690","optimatium","positive"
"691","armamentarium","anger"
"692","armamentarium","fear"
"693","arma","fear"
"694","arma","negative"
"695","armatus","anger"
"696","armatus","fear"
"697","armatus","negative"
"698","armatus","positive"
"699","armis","fear"
"700","armis","positive"
"701","armis","trust"
"702","armatis","fear"
"703","armamentarium","trust"
"704","aroma","positive"
"705","suscito","anticipation"
"706","suscito","positive"
"707","accusatio","anger"
"708","accusatio","fear"
"709","accusatio","negative"
"710","accusatio","sadness"
"711","ordinata","positive"
"712","aretro","negative"
"713","comprehensio","negative"
"714","adventus","anticipation"
"715","venire","anticipation"
"716","arrogantia","negative"
"717","arrogans","anger"
"718","arrogans","disgust"
"719","arrogans","negative"
"720","arsenicum","disgust"
"721","arsenicum","fear"
"722","arsenicum","negative"
"723","arsenicum","sadness"
"724","incendium","anger"
"725","incendium","fear"
"726","incendium","negative"
"727","artem","anticipation"
"728","artem","joy"
"729","artem","positive"
"730","artem","sadness"
"731","artem","surprise"
"732","articulate","positive"
"733","articulatio","positive"
"734","tormenta","fear"
"735","tormenta","negative"
"736","artifex","positive"
"737","artiste","positive"
"738","artis","positive"
"739","principatus","positive"
"740","ascensus","positive"
"741","cinis","negative"
"742","pudet","disgust"
"743","pudet","negative"
"744","pudet","sadness"
"745","cinis","negative"
"746","cinis","sadness"
"747","aspis","fear"
"748","aspiratio","anticipation"
"749","aspiratio","joy"
"750","aspiratio","positive"
"751","aspiratio","surprise"
"752","aspiratio","trust"
"753","aspirare","anticipation"
"754","aspirare","joy"
"755","aspirare","positive"
"756","aspirare","anticipation"
"757","aspirare","joy"
"758","aspirare","positive"
"759","aspirare","trust"
"760","asinus","negative"
"761","oppugnare","anger"
"762","oppugnare","fear"
"763","oppugnare","negative"
"764","oppugnare","surprise"
"765","oppugnator","anger"
"766","oppugnator","fear"
"767","oppugnator","negative"
"768","oppugnator","sadness"
"769","sicarius","anger"
"770","sicarius","fear"
"771","sicarius","negative"
"772","sicarius","sadness"
"773","insurgere","anger"
"774","insurgere","fear"
"775","insurgere","negative"
"776","caedes","anger"
"777","caedes","fear"
"778","caedes","negative"
"779","caedes","sadness"
"780","impetum","anger"
"781","impetum","fear"
"782","impetum","negative"
"783","comitium","positive"
"784","comitium","trust"
"785","assentire","positive"
"786","affirmans","positive"
"787","affirmans","trust"
"788","taxatio","surprise"
"789","taxatio","trust"
"790","assessor","trust"
"791","bonorum","positive"
"792","podex","anger"
"793","podex","disgust"
"794","podex","negative"
"795","assignatus","trust"
"796","adiuvaret","positive"
"797","adiuvaret","trust"
"798","auxilium","positive"
"799","socium","positive"
"800","socium","trust"
"801","consociatio","trust"
"802","mitigare","positive"
"803","fides","positive"
"804","fides","trust"
"805","confirmo","trust"
"806","certus","positive"
"807","certus","trust"
"808","certe","trust"
"809","mirum in modum","positive"
"810","mirum in modum","surprise"
"811","stupor","joy"
"812","stupor","positive"
"813","stupor","surprise"
"814","errans","fear"
"815","errans","negative"
"816","adstringens","negative"
"817","mathematicus","anticipation"
"818","mathematicus","positive"
"819","astronaut","positive"
"820","astrologus","anticipation"
"821","astrologus","positive"
"822","astutus","positive"
"823","asylum","fear"
"824","asylum","negative"
"825","asymmetria","disgust"
"826","atheismus","negative"
"827","atherosclerosis","fear"
"828","atherosclerosis","negative"
"829","atherosclerosis","sadness"
"830","athleta","positive"
"831","athletice","positive"
"832","atomus","positive"
"833","expiare","anticipation"
"834","expiare","joy"
"835","expiare","positive"
"836","expiare","trust"
"837","expiatio","positive"
"838","atrox","anger"
"839","atrox","disgust"
"840","atrox","negative"
"841","atrocitas","anger"
"842","atrocitas","disgust"
"843","atrocitas","fear"
"844","atrocitas","negative"
"845","atrocitas","sadness"
"846","atrophia","disgust"
"847","atrophia","fear"
"848","atrophia","negative"
"849","atrophia","sadness"
"850","affectum","positive"
"851","impetum","anger"
"852","impetum","fear"
"853","impetum","negative"
"854","oppugnare","anger"
"855","oppugnare","disgust"
"856","oppugnare","fear"
"857","oppugnare","negative"
"858","oppugnare","sadness"
"859","oppugnare","surprise"
"860","impetrabilis","anticipation"
"861","impetrabilis","positive"
"862","consecutio","positive"
"863","conatus","anticipation"
"864","auscultatio","anticipation"
"865","famulus","positive"
"866","famulus","trust"
"867","attention","positive"
"868","attentus","positive"
"869","attentus","trust"
"870","attenuatum","negative"
"871","attenuatio","negative"
"872","attenuatio","sadness"
"873","testantur","positive"
"874","testantur","trust"
"875","testificatio","trust"
"876","advocatus","anger"
"877","advocatus","fear"
"878","advocatus","positive"
"879","advocatus","trust"
"880","attractio","positive"
"881","dulcedo","positive"
"882","auction","anticipation"
"883","audacia","negative"
"884","auditorium","anticipation"
"885","auditor","fear"
"886","auditor","trust"
"887","augere","positive"
"888","augusta","positive"
"889","matertera","positive"
"890","matertera","trust"
"891","aura","positive"
"892","faustum","anticipation"
"893","faustum","joy"
"894","faustum","positive"
"895","austerus","fear"
"896","austerus","negative"
"897","austerus","sadness"
"898","austeritas","negative"
"899","authentica","joy"
"900","authentica","positive"
"901","authentica","trust"
"902","signo authenticitatis incisionem","trust"
"903","authenticas","trust"
"904","veritas","positive"
"905","veritas","trust"
"906","author","positive"
"907","author","trust"
"908","auctoritate","positive"
"909","auctoritate","trust"
"910","auctoritas","positive"
"911","auctoritas","trust"
"912","auctoritas","positive"
"913","auctoritas","trust"
"914","auctor","trust"
"915","auctoritate","positive"
"916","autocratic","negative"
"917","automatic","trust"
"918","autopsy","disgust"
"919","autopsy","fear"
"920","autopsy","negative"
"921","autopsy","sadness"
"922","NIVIS CASUS","fear"
"923","NIVIS CASUS","negative"
"924","NIVIS CASUS","sadness"
"925","NIVIS CASUS","surprise"
"926","avaritia","anger"
"927","avaritia","disgust"
"928","avaritia","negative"
"929","avatar","positive"
"930","vindex","anger"
"931","vindex","negative"
"932","abhorrere","anger"
"933","abhorrere","disgust"
"934","abhorrere","fear"
"935","abhorrere","negative"
"936","aversatio","anger"
"937","aversatio","disgust"
"938","aversatio","fear"
"939","aversatio","negative"
"940","devita","fear"
"941","devita","negative"
"942","fuga","fear"
"943","fuga","negative"
"944","avoiding","fear"
"945","expecto","anticipation"
"946","award","anticipation"
"947","award","joy"
"948","award","positive"
"949","award","surprise"
"950","award","trust"
"951","awful","anger"
"952","awful","disgust"
"953","awful","fear"
"954","awful","negative"
"955","awful","sadness"
"956","imperitia","disgust"
"957","imperitia","negative"
"958","awry","negative"
"959","axioma","trust"
"960","axioma","trust"
"961","denique *","positive"
"962","immo","positive"
"963","garrire","negative"
"964","multiloquium","negative"
"965","Nireus","disgust"
"966","Nireus","negative"
"967","infans","joy"
"968","infans","positive"
"969","matricibus hoc","trust"
"970","baccalaureatus","positive"
"971","spina","anger"
"972","spina","positive"
"973","spina","trust"
"974","advocatus","trust"
"975","retrorsum","negative"
"976","retro","disgust"
"977","retro","negative"
"978","backwater","negative"
"979","backwater","sadness"
"980","bacteria","disgust"
"981","bacteria","fear"
"982","bacteria","negative"
"983","bacteria","sadness"
"984","bacterium","disgust"
"985","bacterium","fear"
"986","bacterium","negative"
"987","malus","anger"
"988","malus","disgust"
"989","malus","fear"
"990","malus","negative"
"991","malus","sadness"
"992","insigne","trust"
"993","melis","anger"
"994","melis","negative"
"995","male","negative"
"996","male","sadness"
"997","malitia","anger"
"998","malitia","disgust"
"999","malitia","fear"
"1000","malitia","negative"
"1001","baiulus","fear"
"1002","baiulus","negative"
"1003","baiulus","trust"
"1004","esca","fear"
"1005","esca","negative"
"1006","esca","trust"
"1007","statera","positive"
"1008","libratum","positive"
"1009","bale","fear"
"1010","bale","negative"
"1011","balk","negative"
"1012","NAENIA","positive"
"1013","talarium","positive"
"1014","scrutinium","anticipation"
"1015","scrutinium","positive"
"1016","scrutinium","trust"
"1017","balsamum","anticipation"
"1018","balsamum","joy"
"1019","balsamum","negative"
"1020","balsamum","positive"
"1021","balsama","positive"
"1022","ban","negative"
"1023","latro","negative"
"1024","pernicies","anger"
"1025","pernicies","disgust"
"1026","pernicies","fear"
"1027","pernicies","negative"
"1028","bang","anger"
"1029","bang","disgust"
"1030","bang","fear"
"1031","bang","negative"
"1032","bang","sadness"
"1033","bang","surprise"
"1034","banger","anger"
"1035","banger","anticipation"
"1036","banger","fear"
"1037","banger","negative"
"1038","banger","surprise"
"1039","banish","anger"
"1040","banish","disgust"
"1041","banish","fear"
"1042","banish","negative"
"1043","banish","sadness"
"1044","exilium","anger"
"1045","exilium","fear"
"1046","exilium","negative"
"1047","exilium","sadness"
"1048","exilium","anger"
"1049","exilium","disgust"
"1050","exilium","negative"
"1051","exilium","sadness"
"1052","ripae","trust"
"1053","argentarius","trust"
"1054","decoctor","fear"
"1055","decoctor","negative"
"1056","decoctor","sadness"
"1057","conturbauit","anger"
"1058","conturbauit","disgust"
"1059","conturbauit","fear"
"1060","conturbauit","negative"
"1061","conturbauit","sadness"
"1062","convivium","anticipation"
"1063","convivium","joy"
"1064","convivium","positive"
"1065","banshee","anger"
"1066","banshee","disgust"
"1067","banshee","fear"
"1068","banshee","negative"
"1069","banshee","sadness"
"1070","baptismus","positive"
"1071","baptismalis","joy"
"1072","baptismalis","positive"
"1073","spiculum","anger"
"1074","spiculum","negative"
"1075","barbarus","fear"
"1076","barbarus","negative"
"1077","barbarica","anger"
"1078","barbarica","disgust"
"1079","barbarica","fear"
"1080","barbarica","negative"
"1081","barbarismus","negative"
"1082","vati","positive"
"1083","barf","disgust"
"1084","pacisci","positive"
"1085","pacisci","trust"
"1086","latrare","anger"
"1087","latrare","negative"
"1088","exclusus","negative"
"1089","sterilis","negative"
"1090","sterilis","sadness"
"1091","vallum","fear"
"1092","vallum","negative"
"1093","obice","anger"
"1094","obice","negative"
"1095","agger","disgust"
"1096","minister","trust"
"1097","venundare aliudve","trust"
"1098","basis","trust"
"1099","vanum","negative"
"1100","ultrices","anticipation"
"1101","ultrices","joy"
"1102","ultrices","positive"
"1103","bastardis","disgust"
"1104","bastardis","negative"
"1105","bastardis","sadness"
"1106","bastion","anger"
"1107","bastion","positive"
"1108","balneum","positive"
"1109","phalanx","anger"
"1110","quatere","anger"
"1111","quatere","fear"
"1112","quatere","negative"
"1113","quassata","fear"
"1114","quassata","negative"
"1115","quassata","sadness"
"1116","altilium","anger"
"1117","altilium","negative"
"1118","proelium","anger"
"1119","proelium","negative"
"1120","pugnatum est","anger"
"1121","pugnatum est","fear"
"1122","pugnatum est","negative"
"1123","pugnatum est","sadness"
"1124","proelii","fear"
"1125","proelii","negative"
"1126","bawdy","negative"
"1127","bayonet","anger"
"1128","bayonet","fear"
"1129","bayonet","negative"
"1130","litore","joy"
"1131","trabem","joy"
"1132","trabem","positive"
"1133","gerens","anticipation"
"1134","gerens","joy"
"1135","gerens","positive"
"1136","Ursa","anger"
"1137","Ursa","fear"
"1138","armiger","negative"
"1139","indocile","anger"
"1140","indocile","fear"
"1141","bestia","anger"
"1142","bestia","fear"
"1143","bestia","negative"
"1144","bestiale","disgust"
"1145","bestiale","fear"
"1146","bestiale","negative"
"1147","verberans","anger"
"1148","verberans","fear"
"1149","verberans","negative"
"1150","verberans","sadness"
"1151","pulchritudinis","joy"
"1152","pulchritudinis","positive"
"1153","pulchritudinis","trust"
"1154","pulchra","joy"
"1155","pulchra","positive"
"1156","ornare","joy"
"1157","ornare","positive"
"1158","pulchritudo","joy"
